Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",D_A-405_P2.54mm_Vertical_KathodeUp,12,1N4148,
"D13, D14, D15, D16, D17, D18, D19, D20, D21, D22, D23, D24",D_A-405_P2.54mm_Vertical_AnodeUp,12,1N4148,
"J1, J2, J3",PinHeader_2x14_P2.54mm_Vertical,3,Conn_02x14_Odd_Even,
J4,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,1,Conn_01x03_Pin,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R4, R40, R41, R42, R43, R44, R45, R46, R47, R48, R5, R6, R7, R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,48,10k,
"U1, U2, U3, U4, U5, U6, U7, U8, U9",DIP-14_W7.62mm_Socket,9,LM324,
