			
			
			
			
			
x0xm1000000	0011111110100011	[1000::000] JZ, addr	PC -> MAR
x0xm1000001	0110101110101111	[1000::001] JZ, addr	R -> IR, PC++
x0xm1000010	0111111110101111	[1000::010] JZ, addr	PC++
x0xm1000011	0111111110100111	[1000::011] JZ, addr *	NOP
x0xm1000100	0111111110100111	[1000::100] JZ, addr *	NOP
x0xm1000101	0111111110100111	[1000::101] JZ, addr *	NOP
x0xm1000110	0111111110100111	[1000::110] JZ, addr *	NOP
x0xm1000111	0111111110100111	[1000::111] JZ, addr *	NOP
			
xxxm1001000	0011111110100011	[1001::000] RES0	PC -> MAR
xxxm1001001	0110101110101111	[1001::001] RES0	R -> IR, PC++
xxxm1001010	0111111110100111	[1001::010] RES0 *	NOP
xxxm1001011	0111111110100111	[1001::011] RES0 *	NOP
xxxm1001100	0111111110100111	[1001::100] RES0 *	NOP
xxxm1001101	0111111110100111	[1001::101] RES0 *	NOP
xxxm1001110	0111111110100111	[1001::110] RES0 *	NOP
xxxm1001111	0111111110100111	[1001::111] RES0 *	NOP
			
xxxm1010000	0011111110100011	[1010::000] RES1	PC -> MAR
xxxm1010001	0110101110101111	[1010::001] RES1	R -> IR, PC++
xxxm1010010	0111111110100111	[1010::010] RES1 *	NOP
xxxm1010011	0111111110100111	[1010::011] RES1 *	NOP
xxxm1010100	0111111110100111	[1010::100] RES1 *	NOP
xxxm1010101	0111111110100111	[1010::101] RES1 *	NOP
xxxm1010110	0111111110100111	[1010::110] RES1 *	NOP
xxxm1010111	0111111110100111	[1010::111] RES1 *	NOP
			
xxxm1011000	0011111110100011	[1011::000] Out2, addr	PC -> MAR
xxxm1011001	0110101110101111	[1011::001] Out2, addr	R -> IR, PC++
xxxm1011010	0011111110100011	[1011::010] Out2, addr	PC -> MAR
xxxm1011011	0110111110101110	[1011::011] Out2, addr	R -> O2, PC++
xxxm1011100	0111111110100111	[1011::100] Out2, addr *	NOP
xxxm1011101	0111111110100111	[1011::101] Out2, addr *	NOP
xxxm1011110	0111111110100111	[1011::110] Out2, addr *	NOP
xxxm1011111	0111111110100111	[1011::111] Out2, addr *	NOP
			
xxxm1100000	0011111110100011	[1100::000] Out, addr	PC -> MAR
xxxm1100001	0110101110101111	[1100::001] Out, addr	R -> IR, PC++
xxxm1100010	0011111110100011	[1100::010] Out, addr	PC -> MAR
xxxm1100011	0110111110111111	[1100::011] Out, addr	R -> O, PC++
xxxm1100100	0111111110100111	[1100::100] Out, addr *	NOP
xxxm1100101	0111111110100111	[1100::101] Out, addr *	NOP
xxxm1100110	0111111110100111	[1100::110] Out, addr *	NOP
xxxm1100111	0111111110100111	[1100::111] Out, addr *	NOP
			
xxxm1101000	0011111110100011	[1101::000] OutA2	PC -> MAR
xxxm1101001	0110101110101111	[1101::001] OutA2	R -> IR, PC++
xxxm1101010	0011111010100010	[1101::010] OutA2	A -> O2
xxxm1101011	0111111110100111	[1101::011] OutA2 *	NOP
xxxm1101100	0111111110100111	[1101::100] OutA2 *	NOP
xxxm1101101	0111111110100111	[1101::101] OutA2 *	NOP
xxxm1101110	0111111110100111	[1101::110] OutA2 *	NOP
xxxm1101111	0111111110100111	[1101::111] OutA2 *	NOP
			
xxxm1110000	0011111110100011	[1110::000] OutA	PC -> MAR
xxxm1110001	0110101110101111	[1110::001] OutA	R -> IR, PC++
xxxm1110010	0111111010110011	[1110::010] OutA	A -> O
xxxm1110011	0111111110100111	[1110::011] OutA *	NOP
xxxm1110100	0111111110100111	[1110::100] OutA *	NOP
xxxm1110101	0111111110100111	[1110::101] OutA *	NOP
xxxm1110110	0111111110100111	[1110::110] OutA *	NOP
xxxm1110111	0111111110100111	[1110::111] OutA *	NOP
			
xxxm1111000	0011111110100011	[1111::000] HLT	PC -> MAR
xxxm1111001	0110101110101111	[1111::001] HLT	R -> IR, PC++
xxxm1111010	1111111110100111	[1111::010] HLT	HLT
xxxm1111011	0111111110100111	[1111::011] HLT *	NOP
xxxm1111100	0111111110100111	[1111::100] HLT *	NOP
xxxm1111101	0111111110100111	[1111::101] HLT *	NOP
xxxm1111110	0111111110100111	[1111::110] HLT *	NOP
xxxm1111111	0111111110100111	[1111::111] HLT *	NOP
			
